, sort_num, sort_size, sort_rows, min_num, min_size, min_rows, max_num, max_size, max_rows, grep_num, grep_size, grep_rows, total_size,async_num,time
1-3-50,0,0,0,1,105817412,259952,2,1546961842,9896374,2,2633229059,18657673,4286008313,3,5.71
1-3-44,1,4526223222,62799128,2,785429419,5024677,1,4996952961,80329325,1,7288750773,33373630,17597356375,3,5.832
1-3-18,2,5012700910,80438038,1,158657,2173,2,301905666,598051,1,2919063,29776,5317684296,3,7.256
2-9-49,2,95411939,270765,1,6933159570,75536964,2,7992803007,100567610,2,9996824985,160688426,25018199501,9,16.228
2-9-44,1,4526223222,62799128,2,785429419,5024677,1,4996952961,80329325,1,7288750773,33373630,17597356375,9,13.058
2-9-61,3,1702682339,14991737,0,0,0,0,0,0,1,5107,151,1702687446,9,14.138
2-9-51,2,5543125261,87918779,2,4760834732,30438883,1,16557,159,1,10332849,14475,10314309399,9,14.511
2-9-52,1,94371854,257112,3,5740788028,73716245,2,19281198,66012,1,20642754,28958,5875083834,9,16.29
2-9-42,2,1280820363,8154597,0,0,0,2,856241519,5461802,1,386351275,2472543,2523413157,9,24.686
2-9-39,1,2632882364,18653122,0,0,0,2,386323359,2476987,2,9994252617,160663201,13013458340,9,19.102
2-9-37,0,0,0,2,2628640,29988,3,41504684,107420,2,2878967,23855,47012291,9,22.303
3-2-9,2,428191341,2750965,1,5107,151,0,0,0,3,8508858020,80274445,8937054468,2,29.501
3-2-1,0,0,0,3,418286495,2690875,2,15013739,38742,1,1010600,13268,434310834,2,73.161
4-5-98,2,2461792674,5063572,0,0,0,1,16300,214,1,1894132,4692,2463703106,5,51.142
4-5-74,1,52908706,129976,1,150828752,284808,3,8818730686,26817749,1,13625843,84549,9036093987,5,120.785
4-5-82,1,601809388,1136910,3,4312811783,101548307,0,0,0,2,8820058241,26828162,13734679412,5,73.396
4-5-60,1,10321377,14479,4,6042027925,72522183,0,0,0,1,1251220,32766,6053600522,5,95.81
4-5-68,2,789033540,5051538,2,549408380,7622894,3,831484473,5276933,0,0,0,2169926393,5,142.915
5-3-83,0,0,0,4,892358596,5351679,1,1360155,10841,0,0,0,893718751,3,24.108
5-3-22,1,376304038,5609990,3,886627360,5686590,3,499935107,2841905,0,0,0,1762866505,3,76.071
5-3-90,0,0,0,0,0,0,3,41396967,68624,2,35805281,56413,77202248,3,46.433
6-3-36,4,7661292630,99314720,0,0,0,1,7288750773,33373630,2,8558436,81234,14958601839,3,23.361
6-3-37,0,0,0,2,2628640,29988,3,41504684,107420,2,2878967,23855,47012291,3,21.969
6-3-12,0,0,0,1,68890252,91144,1,789456370,5039686,2,798258343,5095881,1656604965,3,22.86
7-4-26,2,7748473068,80739870,0,0,0,1,761781854,4882440,1,14577501546,66747260,23087756468,4,22.351
7-4-71,0,0,0,3,1434342582,33845606,0,0,0,1,52908706,129976,1487251288,4,141.567
7-4-83,0,0,0,4,892358596,5351679,1,1360155,10841,0,0,0,893718751,4,106.63
7-4-3,1,273086150,3794727,1,30456333,302677,2,2663338697,18955799,1,386351275,2472543,3353232455,4,67.086
8-3-41,3,5105182769,74850146,2,31908803,152551,1,5107,151,1,31495898,217426,5168592577,3,100.611
8-3-52,1,94371854,257112,3,5740788028,73716245,2,19281198,66012,1,20642754,28958,5875083834,3,314.408
8-3-11,1,7288750773,33373630,1,18280226,36416,1,2720310,21682,2,14577501546,66747260,21887252855,3,320.274
9-9-58,2,5297857655,80897780,0,0,0,3,2647534342,18782008,2,8478146422,35634299,16423538419,9,95.042
10-3-15,2,866532704,5449736,2,18109226,134117,2,14577506653,66747411,1,815313498,5202906,16277462081,3,27.63
10-3-26,2,7748473068,80739870,0,0,0,1,761781854,4882440,1,14577501546,66747260,23087756468,3,25.632
10-3-57,2,249656374,1119578,3,388642580,2518962,2,413448322,2655700,0,0,0,1051747276,3,23.885
11-4-8,2,854038899,5438571,1,772605602,4953624,1,60912666,605354,3,9995858048,160685524,11683415215,4,27.899
11-4-51,2,5543125261,87918779,2,4760834732,30438883,1,16557,159,1,10332849,14475,10314309399,4,26.52
11-4-12,0,0,0,1,68890252,91144,1,789456370,5039686,2,798258343,5095881,1656604965,4,25.352
11-4-40,2,16753009,133241,0,0,0,1,1251220,32766,3,427421501,2708932,445425730,4,23.903
12-10-49,2,95411939,270765,1,6933159570,75536964,2,7992803007,100567610,2,9996824985,160688426,25018199501,10,11.683
12-10-10,1,300904694,568455,1,426940121,2718199,2,1534387456,9836064,2,28275087,181849,2290507358,10,10.926
12-10-22,1,376304038,5609990,3,886627360,5686590,3,499935107,2841905,0,0,0,1762866505,10,57.01
12-10-47,0,0,0,4,311996933,613537,1,4996952961,80329325,1,546172300,7589454,5855122194,10,29.985
12-10-17,2,65017400,637916,0,0,0,1,68890252,91144,1,757505472,4856688,891413124,10,69.137
12-10-86,2,3142295374,9426352,2,14635820,94248,2,752638140,1421718,1,20665698,28950,3930235032,10,16.264
12-10-30,2,4560592593,72161787,3,4813543787,75668316,0,0,0,1,757505472,4856688,10131641852,10,38.706
12-10-37,0,0,0,2,2628640,29988,3,41504684,107420,2,2878967,23855,47012291,10,13.744
12-10-69,2,3920035,59372,1,1040085,13653,0,0,0,4,502713000,2894629,507673120,10,35.887
12-10-68,2,789033540,5051538,2,549408380,7622894,3,831484473,5276933,0,0,0,2169926393,10,22.275
13-5-30,2,4560592593,72161787,3,4813543787,75668316,0,0,0,1,757505472,4856688,10131641852,5,5.912
13-5-86,2,3142295374,9426352,2,14635820,94248,2,752638140,1421718,1,20665698,28950,3930235032,5,6.074
13-5-20,1,6933159570,75536964,3,48910508,274496,1,2919063,29776,1,2361277,25404,6987350418,5,8.084
13-5-38,1,399126618,2547865,2,394584264,5646406,1,376304038,5609990,2,1295213061,2520621,2465227981,5,7.783
13-5-60,1,10321377,14479,4,6042027925,72522183,0,0,0,1,1251220,32766,6053600522,5,8.581
14-6-83,0,0,0,4,892358596,5351679,1,1360155,10841,0,0,0,893718751,6,22.549
14-6-93,2,17638406149,53644341,1,23930,584,2,2413940363,31684372,1,4722554,50808,20057092996,6,102.322
14-6-20,1,6933159570,75536964,3,48910508,274496,1,2919063,29776,1,2361277,25404,6987350418,6,59.033
14-6-62,1,1023401,12751,2,305762238,602178,1,386351275,2472543,2,13903682,46104,707040596,6,163.74
15-8-6,0,0,0,2,387391360,2486196,2,758907140,4870027,1,300904694,568455,1447203194,8,24.57
15-8-64,2,31019610,312693,4,1175389354,7531224,0,0,0,0,0,0,1206408964,8,22.842
15-8-80,1,41500688,271117,3,1916780344,36977932,2,17720397548,54176876,1,2263111611,31399564,21941790191,8,21.432
15-8-40,2,16753009,133241,0,0,0,1,1251220,32766,3,427421501,2708932,445425730,8,31.09
15-8-31,1,10321377,14479,0,0,0,2,155284520,862466,3,3466743549,37770806,3632349446,8,18.079
15-8-100,1,625610,16383,1,1316441182,9326561,0,0,0,2,152722884,289500,1469789676,8,16.533
15-8-98,2,2461792674,5063572,0,0,0,1,16300,214,1,1894132,4692,2463703106,8,29.723
16-4-79,0,0,0,2,9197450822,29245665,0,0,0,2,1330067025,9411110,10527517847,4,16.714
16-4-63,1,9993905922,160658650,1,105817412,259952,3,855518840,5453293,0,0,0,10955242174,4,17.206
16-4-59,1,31495898,217426,2,2634133584,18685888,1,20642754,28958,3,1167589392,7467102,3853861628,4,17.523
16-4-46,2,273091257,3794878,1,20642754,28958,1,1000972,29596,2,1203024226,2376804,1497759209,4,18.216
17-6-23,4,767936997,4945656,0,0,0,1,761781854,4882440,1,798253236,5095730,2327972087,6,20.47
17-6-73,4,26608283165,80747612,0,0,0,0,0,0,0,0,0,26608283165,6,29.706
17-6-9,2,428191341,2750965,1,5107,151,0,0,0,3,8508858020,80274445,8937054468,6,24.798
17-6-42,2,1280820363,8154597,0,0,0,2,856241519,5461802,1,386351275,2472543,2523413157,6,23.147
17-6-51,2,5543125261,87918779,2,4760834732,30438883,1,16557,159,1,10332849,14475,10314309399,6,23.524
17-6-47,0,0,0,4,311996933,613537,1,4996952961,80329325,1,546172300,7589454,5855122194,6,23.753
18-10-58,2,5297857655,80897780,0,0,0,3,2647534342,18782008,2,8478146422,35634299,16423538419,10,103.825
18-10-90,0,0,0,0,0,0,3,41396967,68624,2,35805281,56413,77202248,10,185.948
19-10-53,0,0,0,3,7488471983,83144626,0,0,0,1,1618040,16720,7490090023,10,5.203
19-10-46,2,273091257,3794878,1,20642754,28958,1,1000972,29596,2,1203024226,2376804,1497759209,10,7.443
19-10-43,3,8440403222,40749442,2,7299072150,33388109,0,0,0,2,416807608,2775220,16156282980,10,8.376
19-10-95,3,9227364812,29428473,0,0,0,2,602935942,1156942,1,601809388,1136910,10432110142,10,12.354
19-10-68,2,789033540,5051538,2,549408380,7622894,3,831484473,5276933,0,0,0,2169926393,10,13.859
19-10-97,1,34445126,45572,2,17678896860,53905759,1,150828752,284808,0,0,0,17864170738,10,14.318
19-10-62,1,1023401,12751,2,305762238,602178,1,386351275,2472543,2,13903682,46104,707040596,10,14.523
19-10-91,1,188152019,2804995,1,34445126,45572,1,2263111611,31399564,1,8818698086,26817321,11304406842,10,15.636
19-10-60,1,10321377,14479,4,6042027925,72522183,0,0,0,1,1251220,32766,6053600522,10,14.726
19-10-66,1,1251220,32766,1,2919063,29776,1,8209468,65124,1,4530136260,71859110,4542516011,10,16.003
20-10-34,1,798253236,5095730,0,0,0,3,13680970,26240,1,412443262,2631172,1224377468,10,203.355
20-10-80,1,41500688,271117,3,1916780344,36977932,2,17720397548,54176876,1,2263111611,31399564,21941790191,10,162.186
20-10-87,2,797949202,4950586,1,52908706,129976,1,1316441182,9326561,2,17788224924,53919450,19955524014,10,191.623
20-10-61,3,1702682339,14991737,0,0,0,0,0,0,1,5107,151,1702687446,10,241.896
20-10-77,1,34445126,45572,1,8818698086,26817321,1,6326231,6669,3,18515191402,59026962,27374660845,10,122.955
20-10-17,2,65017400,637916,0,0,0,1,68890252,91144,1,757505472,4856688,891413124,10,121.543
20-10-48,2,4556679555,63101805,1,4333894611,27720684,1,426940121,2718199,1,772702550,4945086,10090216837,10,168.288
20-10-100,1,625610,16383,1,1316441182,9326561,0,0,0,2,152722884,289500,1469789676,10,116.15
20-10-74,1,52908706,129976,1,150828752,284808,3,8818730686,26817749,1,13625843,84549,9036093987,10,132.007
21-5-17,2,65017400,637916,0,0,0,1,68890252,91144,1,757505472,4856688,891413124,5,58.054
21-5-65,2,772630563,4953935,0,0,0,0,0,0,3,804545143,5167063,1577175706,5,54.246
21-5-42,2,1280820363,8154597,0,0,0,2,856241519,5461802,1,386351275,2472543,2523413157,5,52.726
21-5-43,3,8440403222,40749442,2,7299072150,33388109,0,0,0,2,416807608,2775220,16156282980,5,50.598
21-5-51,2,5543125261,87918779,2,4760834732,30438883,1,16557,159,1,10332849,14475,10314309399,5,48.848
22-3-7,3,4239302893,42713743,0,0,0,1,94371854,257112,2,7345602832,78168136,11679277579,3,5.25
22-3-70,1,1251220,32766,0,0,0,1,18280226,36416,3,817534434,5161742,837065880,3,5.444
22-3-49,2,95411939,270765,1,6933159570,75536964,2,7992803007,100567610,2,9996824985,160688426,25018199501,3,5.351
23-10-58,2,5297857655,80897780,0,0,0,3,2647534342,18782008,2,8478146422,35634299,16423538419,10,7.243
23-10-7,3,4239302893,42713743,0,0,0,1,94371854,257112,2,7345602832,78168136,11679277579,10,6.91
23-10-16,2,303823757,598231,3,1158728646,10521388,1,2720310,21682,1,399126618,2547865,1864399331,10,9.609
23-10-55,1,4530136260,71859110,3,4356879922,27748497,3,13585486,48074,0,0,0,8900601668,10,10.65
23-10-67,3,6935340887,75563700,1,346695,4551,1,1000972,29596,1,761781854,4882440,7698470408,10,12.604
23-10-24,1,757899798,4861452,2,29782867,47166,1,10321377,14479,2,773265827,4955102,1571269869,10,13.312
23-10-26,2,7748473068,80739870,0,0,0,1,761781854,4882440,1,14577501546,66747260,23087756468,10,13.654
23-10-78,2,2852268368,67669074,1,188152019,2804995,2,1504593201,12131556,0,0,0,4545013588,10,13.367
23-10-18,2,5012700910,80438038,1,158657,2173,2,301905666,598051,1,2919063,29776,5317684296,10,14.033
23-10-99,1,16300,214,1,34445126,45572,1,2378791298,4521338,1,4722554,50808,2417975278,10,20.758
24-7-3,1,273086150,3794727,1,30456333,302677,2,2663338697,18955799,1,386351275,2472543,3353232455,7,20.41
24-7-39,1,2632882364,18653122,0,0,0,2,386323359,2476987,2,9994252617,160663201,13013458340,7,8.695
24-7-34,1,798253236,5095730,0,0,0,3,13680970,26240,1,412443262,2631172,1224377468,7,6.239
24-7-85,1,2852244438,67668490,2,47826919,277786,0,0,0,3,55278838,150516,2955350195,7,9.545
24-7-80,1,41500688,271117,3,1916780344,36977932,2,17720397548,54176876,1,2263111611,31399564,21941790191,7,18.914
25-4-70,1,1251220,32766,0,0,0,1,18280226,36416,3,817534434,5161742,837065880,4,26.857
25-4-83,0,0,0,4,892358596,5351679,1,1360155,10841,0,0,0,893718751,4,25.485
25-4-81,2,602819365,1146609,3,677755202,1453599,1,20665698,28950,0,0,0,1301240265,4,24.274
25-4-87,2,797949202,4950586,1,52908706,129976,1,1316441182,9326561,2,17788224924,53919450,19955524014,4,22.87
